trial,latency_ms
1,1110
2,1129
3,1099
4,1144
5,1125
6,1087
7,1133
8,1169
9,1170
10,1230
11,1203
12,1182
13,1210
14,1216
15,1166
16,1344
17,1171
18,1248
19,1223
20,1292
21,1226
22,1198
23,1158
24,1154
25,1103
26,1145
27,1126
28,1145
29,1076
30,1119
